plan_id,provider_id,plan_name,price,currency,billing_frequency,features,created_at
862f6f46-4f45-4289-8893-2bc2c4376f65,1,Brand Leading-Edge Paradigms,53.57,SAR,quarterly,"{""near"": ""umQJlsYJyGjreQGEoNmB"", ""process"": ""mtsvNZBCgoJOWVDVLgck""}",2023-07-06 21:44:18.494717
e738049e-ffd5-4b5a-8519-b1bf2e80c346,1,Optimize Frictionless Supply-Chains,229.16,SAR,quarterly,"{""edge"": ""KVaBUMBpnqFtYGaJHaQk"", ""other"": ""hbhJASUobSxbwFOLQtoc""}",2021-10-26 02:53:39.600459
c708760f-9a82-43c4-8c43-e7eb1fb93880,1,Seize E-Business Markets,708.4,USD,annual,"{""player"": 4378, ""fear"": 1983}",2023-03-17 22:29:44.210269
ada1ddaa-52e1-451d-a8a8-c11f2d99821a,1,Scale Strategic Architectures,565.66,EUR,annual,"{""event"": 2388, ""several"": 9362, ""contain"": ""dSGsBpfvouanaABLxxoU"", ""north"": 8301}",2024-06-09 07:52:47.727675
b3414704-34ec-4d45-84ab-838e9e0d38c2,1,Repurpose Global Solutions,294.44,SAR,annual,"{""activity"": ""jLTeNURTcWGGpBDMhyiJ""}",2024-09-03 11:18:47.621973
abaca0ad-932e-4fcf-85c5-e95c455177c4,2,Drive Interactive Infrastructures,21.28,SAR,monthly,"{""himself"": ""ZNgUuZhpQTuxqlfzdVWs"", ""suffer"": 1524}",2024-01-05 22:36:20.069165
ea3f7516-ae50-4a60-ab8a-92f65201443d,2,Reinvent Intuitive Architectures,438.26,MXN,annual,"{""play"": ""NuAxTybSqgNRyDBJTKUZ""}",2020-07-17 01:38:52.173376
27188e07-2150-475c-b00f-8ab73d75e35a,2,Monetize Plug-And-Play Supply-Chains,239.67,GBP,quarterly,"{""husband"": ""AfEarBtTNXfuScwMrjiE"", ""its"": ""CGktEtCftcBSbNxVrzSB"", ""almost"": 466}",2024-05-15 14:51:19.608331
8ace7b42-b2a6-48a8-8863-ec3e7369d428,2,Visualize Next-Generation Eyeballs,279.92,USD,annual,"{""task"": ""nLthdlgGZwwykEDKzVGJ"", ""management"": 7229, ""toward"": ""zREBQMhiCOCzHCqdqXDN""}",2022-05-20 13:19:33.817466
ab29b7ca-c7ea-4e0f-a26e-f9a79220339f,2,Maximize Efficient Synergies,90.11,GBP,monthly,"{""deal"": 6927}",2023-06-03 07:27:31.822395
b0dbe0c7-9eef-4ae0-a5f7-fb0aba165fb5,3,Evolve Leading-Edge Info-Mediaries,129.01,GBP,quarterly,"{""teacher"": 493, ""us"": 8215}",2024-07-25 00:31:39.572746
c2f0cdde-09f5-42b0-8300-b6bd09e92d24,3,Re-Contextualize User-Centric Markets,180.02,EUR,quarterly,"{""run"": 9810, ""consumer"": 5306}",2021-03-23 14:31:38.785920
519a6310-c49e-4650-a246-6d665d042f11,3,Innovate Seamless Niches,30.88,MXN,monthly,"{""stay"": 8711, ""organization"": 167, ""owner"": 9121}",2024-04-05 06:04:02.379488
74fbcb5f-94c1-4702-ae74-d4d72ee638b8,3,Brand Enterprise Action-Items,61.82,EUR,quarterly,"{""responsibility"": 2394}",2024-01-22 07:39:25.665369
c3d04727-fdbb-4a43-b126-b56e197d1282,3,Envisioneer Magnetic Deliverables,98.43,EUR,monthly,"{""stage"": ""lanTEAsKGXZzzSOfsZyA"", ""institution"": ""tiwdEXWCGNbmVXXHPlFT"", ""chance"": 5173}",2025-10-05 11:17:20.372681
ad331e5f-6f25-478c-b0fd-03842ec434e5,4,Whiteboard B2C Mindshare,88.18,SAR,monthly,"{""positive"": 5065, ""star"": ""WTGlOMdIWjLPzCKltlEB""}",2022-11-13 10:49:11.823453
d64210cf-69ba-43a8-915a-cc58ce1f2bfe,4,Engage E-Business E-Markets,35.71,EUR,monthly,"{""action"": 6350, ""table"": 7129, ""result"": ""HWytMSqggULiPxiwqxfB""}",2024-06-04 02:57:03.787538
fb20d0de-24a2-4881-8f76-826c3abd26d2,4,Engage World-Class Platforms,98.92,EUR,quarterly,"{""series"": ""cbHRdvQeJUeVkAtnqbke"", ""far"": ""uLxQVhWlQCSQTjUqWiFE""}",2024-05-29 01:35:36.807524
4f6cc21b-d426-444d-afd5-233cef230070,4,Evolve Innovative Initiatives,228.23,GBP,quarterly,"{""upon"": ""DqCevXbQQVKULPfBSGdI"", ""system"": 8742, ""us"": ""TdtkVWqXKWwixPQiAbBh""}",2023-02-02 11:05:40.311726
fd043144-4c25-4215-82a0-30c323f1982d,4,Matrix Collaborative Action-Items,138.78,EUR,quarterly,"{""up"": 1294, ""whose"": 5922, ""foot"": ""rQWPUxqgMcWCEQvBjnkB""}",2024-12-13 22:15:06.983226
bda35c2a-bc74-4d9d-b2b9-bcc0f7204d95,5,Maximize Bleeding-Edge E-Tailers,557.98,GBP,annual,"{""change"": ""juDbqqwixIRByAwgDOsW"", ""business"": 1418}",2024-09-01 18:02:55.764125
48ab31e5-c689-44ab-b3fe-68fed064ad8a,5,Visualize Cross-Media Portals,71.97,USD,quarterly,"{""increase"": 8748, ""include"": 1127, ""fish"": ""lmAUNYbTgbbwStmtqsjK"", ""chance"": ""GPJsXhorYjKoYBAsjFkj""}",2025-06-01 15:42:18.491681
081ca33d-e842-4927-8df5-3faf06c80418,5,Expedite Holistic Users,45.06,GBP,monthly,"{""record"": 2246, ""return"": ""cGIJwxUwCLVqpMZDNlxx"", ""friend"": 7413, ""term"": 6474}",2025-02-04 14:27:20.813536
dab1f810-c35d-41fe-8ae5-16d5c3f122a3,5,Redefine Cross-Media Methodologies,874.71,MXN,annual,"{""coach"": ""GHdKznWnOpHinlKwutIO"", ""analysis"": 5472, ""war"": 5236}",2025-08-03 11:07:41.306281
407d357a-2a55-4e77-8d4a-138ef21d3e06,5,Streamline Mission-Critical Partnerships,26.48,USD,monthly,"{""example"": ""ArtKisVkfktUBwWaFlcP""}",2024-09-20 13:32:16.719149
